campaign_id,category,target_creator_tier,total_budget,start_date,end_date
CMP_001,Gaming,Macro,15000,2024-01-01,2024-02-01
CMP_002,Food,Mid,75000,2024-01-02,2024-02-02
CMP_003,Beauty,Macro,100000,2024-01-03,2024-02-03
CMP_004,Tech,Mid,75000,2024-01-04,2024-02-04
CMP_005,Fashion,Micro,150000,2024-01-05,2024-02-05
CMP_006,Fashion,Macro,100000,2024-01-06,2024-02-06
CMP_007,Fashion,Nano,100000,2024-01-07,2024-02-07
CMP_008,Fitness,Nano,50000,2024-01-08,2024-02-08
CMP_009,Tech,Nano,100000,2024-01-09,2024-02-09
CMP_010,Beauty,Micro,75000,2024-01-10,2024-02-10
CMP_011,Fashion,Micro,100000,2024-01-11,2024-02-11
CMP_012,Food,Micro,50000,2024-01-12,2024-02-12
CMP_013,Beauty,Mid,50000,2024-01-13,2024-02-13
CMP_014,Fashion,Micro,150000,2024-01-14,2024-02-14
CMP_015,Fashion,Micro,75000,2024-01-15,2024-02-15
CMP_016,Fashion,Micro,25000,2024-01-16,2024-02-16
CMP_017,Gaming,Nano,25000,2024-01-17,2024-02-17
CMP_018,Tech,Mid,100000,2024-01-18,2024-02-18
CMP_019,Gaming,Nano,150000,2024-01-19,2024-02-19
CMP_020,Gaming,Macro,15000,2024-01-20,2024-02-20
CMP_021,Tech,Mid,100000,2024-01-21,2024-02-21
CMP_022,Fashion,Nano,150000,2024-01-22,2024-02-22
CMP_023,Gaming,Nano,75000,2024-01-23,2024-02-23
CMP_024,Gaming,Mid,75000,2024-01-24,2024-02-24
CMP_025,Gaming,Mid,75000,2024-01-25,2024-02-25
CMP_026,Beauty,Mid,75000,2024-01-26,2024-02-26
CMP_027,Fashion,Mid,75000,2024-01-27,2024-02-27
CMP_028,Tech,Nano,150000,2024-01-28,2024-02-28
CMP_029,Tech,Micro,150000,2024-01-29,2024-02-29
CMP_030,Fashion,Nano,50000,2024-01-30,2024-03-01
CMP_031,Tech,Mid,25000,2024-01-31,2024-03-02
CMP_032,Fashion,Micro,75000,2024-02-01,2024-03-03
CMP_033,Fashion,Micro,15000,2024-02-02,2024-03-04
CMP_034,Fitness,Nano,150000,2024-02-03,2024-03-05
CMP_035,Food,Micro,15000,2024-02-04,2024-03-06
CMP_036,Beauty,Micro,15000,2024-02-05,2024-03-07
CMP_037,Gaming,Mid,15000,2024-02-06,2024-03-08
CMP_038,Fashion,Micro,50000,2024-02-07,2024-03-09
CMP_039,Tech,Mid,150000,2024-02-08,2024-03-10
CMP_040,Gaming,Micro,15000,2024-02-09,2024-03-11
CMP_041,Fashion,Nano,75000,2024-02-10,2024-03-12
CMP_042,Gaming,Mid,100000,2024-02-11,2024-03-13
CMP_043,Fashion,Mid,15000,2024-02-12,2024-03-14
CMP_044,Fitness,Micro,50000,2024-02-13,2024-03-15
CMP_045,Gaming,Mid,150000,2024-02-14,2024-03-16
CMP_046,Tech,Micro,50000,2024-02-15,2024-03-17
CMP_047,Gaming,Micro,15000,2024-02-16,2024-03-18
CMP_048,Tech,Micro,150000,2024-02-17,2024-03-19
CMP_049,Tech,Nano,100000,2024-02-18,2024-03-20
CMP_050,Fashion,Nano,15000,2024-02-19,2024-03-21
