creator_id,tier,historical_avg_views_per_post
CR_001,Nano,2665
CR_002,Micro,18211
CR_003,Macro,368733
CR_004,Micro,10328
CR_005,Micro,15649
CR_006,Micro,16444
CR_007,Micro,11685
CR_008,Macro,363450
CR_009,Macro,355093
CR_010,Nano,2142
CR_011,Micro,16341
CR_012,Micro,17102
CR_013,Nano,3812
CR_014,Nano,3790
CR_015,Micro,9833
CR_016,Micro,11483
CR_017,Nano,3386
CR_018,Nano,3385
CR_019,Macro,395066
CR_020,Nano,5889
CR_021,Nano,3428
CR_022,Micro,19258
CR_023,Macro,433475
CR_024,Nano,3488
CR_025,Micro,13817
CR_026,Mid,89230
CR_027,Nano,2420
CR_028,Micro,14111
CR_029,Micro,13179
CR_030,Micro,15307
CR_031,Micro,23679
CR_032,Micro,7997
CR_033,Nano,3514
CR_034,Mid,44761
CR_035,Micro,13230
CR_036,Nano,3816
CR_037,Nano,3048
CR_038,Micro,10958
CR_039,Micro,12317
CR_040,Nano,3509
CR_041,Micro,12261
CR_042,Nano,3162
CR_043,Micro,15170
CR_044,Nano,2511
CR_045,Micro,23039
CR_046,Micro,17377
CR_047,Macro,172800
CR_048,Nano,3139
CR_049,Micro,12518
CR_050,Nano,3639
CR_051,Macro,280654
CR_052,Mid,72848
CR_053,Nano,3378
CR_054,Micro,18246
CR_055,Mid,52494
CR_056,Micro,13745
CR_057,Micro,13218
CR_058,Nano,2510
CR_059,Nano,4324
CR_060,Mid,82593
CR_061,Macro,239672
CR_062,Micro,18441
CR_063,Micro,22958
CR_064,Micro,18871
CR_065,Micro,9302
CR_066,Mid,65920
CR_067,Mid,98754
CR_068,Mid,61731
CR_069,Micro,16664
CR_070,Nano,3580
CR_071,Nano,2304
CR_072,Mid,73883
CR_073,Micro,2845
CR_074,Nano,2231
CR_075,Nano,2810
CR_076,Micro,10320
CR_077,Nano,4224
CR_078,Nano,1927
CR_079,Micro,13349
CR_080,Micro,15490
CR_081,Micro,20404
CR_082,Nano,1923
CR_083,Micro,19361
CR_084,Nano,3007
CR_085,Micro,11319
CR_086,Micro,16732
CR_087,Micro,15746
CR_088,Mid,63745
CR_089,Micro,15261
CR_090,Micro,13555
CR_091,Nano,3085
CR_092,Micro,17482
CR_093,Nano,4189
CR_094,Nano,2071
CR_095,Macro,536640
CR_096,Micro,7679
CR_097,Mid,72154
CR_098,Micro,17206
CR_099,Mid,80268
CR_100,Micro,12664
CR_101,Micro,14219
CR_102,Micro,13151
CR_103,Nano,2557
CR_104,Micro,18186
CR_105,Nano,3267
CR_106,Nano,2480
CR_107,Micro,18373
CR_108,Nano,3230
CR_109,Macro,421125
CR_110,Macro,405092
CR_111,Macro,277462
CR_112,Micro,12899
CR_113,Nano,3560
CR_114,Macro,403407
CR_115,Micro,14921
CR_116,Macro,360266
CR_117,Macro,461795
CR_118,Mid,63908
CR_119,Nano,3410
CR_120,Micro,14241
