campaign_id,milestone_rank,view_threshold,payout_amount
CMP_001,1,105000,1500
CMP_001,2,244999,2250
CMP_001,3,420000,3000
CMP_001,4,700000,3750
CMP_001,5,1120000,4500
CMP_002,1,22500,7500
CMP_002,2,52500,11250
CMP_002,3,90000,15000
CMP_002,4,150000,18750
CMP_002,5,240000,22500
CMP_003,1,105000,10000
CMP_003,2,244999,15000
CMP_003,3,420000,20000
CMP_003,4,700000,25000
CMP_003,5,1120000,30000
CMP_004,1,22500,7500
CMP_004,2,52500,11250
CMP_004,3,90000,15000
CMP_004,4,150000,18750
CMP_004,5,240000,22500
CMP_005,1,4500,15000
CMP_005,2,10500,22500
CMP_005,3,18000,30000
CMP_005,4,30000,37500
CMP_005,5,48000,45000
CMP_006,1,105000,10000
CMP_006,2,244999,15000
CMP_006,3,420000,20000
CMP_006,4,700000,25000
CMP_006,5,1120000,30000
CMP_007,1,900,10000
CMP_007,2,2100,15000
CMP_007,3,3600,20000
CMP_007,4,6000,25000
CMP_007,5,9600,30000
CMP_008,1,900,5000
CMP_008,2,2100,7500
CMP_008,3,3600,10000
CMP_008,4,6000,12500
CMP_008,5,9600,15000
CMP_009,1,900,10000
CMP_009,2,2100,15000
CMP_009,3,3600,20000
CMP_009,4,6000,25000
CMP_009,5,9600,30000
CMP_010,1,4500,7500
CMP_010,2,10500,11250
CMP_010,3,18000,15000
CMP_010,4,30000,18750
CMP_010,5,48000,22500
CMP_011,1,4500,10000
CMP_011,2,10500,15000
CMP_011,3,18000,20000
CMP_011,4,30000,25000
CMP_011,5,48000,30000
CMP_012,1,4500,5000
CMP_012,2,10500,7500
CMP_012,3,18000,10000
CMP_012,4,30000,12500
CMP_012,5,48000,15000
CMP_013,1,22500,5000
CMP_013,2,52500,7500
CMP_013,3,90000,10000
CMP_013,4,150000,12500
CMP_013,5,240000,15000
CMP_014,1,4500,15000
CMP_014,2,10500,22500
CMP_014,3,18000,30000
CMP_014,4,30000,37500
CMP_014,5,48000,45000
CMP_015,1,4500,7500
CMP_015,2,10500,11250
CMP_015,3,18000,15000
CMP_015,4,30000,18750
CMP_015,5,48000,22500
CMP_016,1,4500,2500
CMP_016,2,10500,3750
CMP_016,3,18000,5000
CMP_016,4,30000,6250
CMP_016,5,48000,7500
CMP_017,1,900,2500
CMP_017,2,2100,3750
CMP_017,3,3600,5000
CMP_017,4,6000,6250
CMP_017,5,9600,7500
CMP_018,1,22500,10000
CMP_018,2,52500,15000
CMP_018,3,90000,20000
CMP_018,4,150000,25000
CMP_018,5,240000,30000
CMP_019,1,900,15000
CMP_019,2,2100,22500
CMP_019,3,3600,30000
CMP_019,4,6000,37500
CMP_019,5,9600,45000
CMP_020,1,105000,1500
CMP_020,2,244999,2250
CMP_020,3,420000,3000
CMP_020,4,700000,3750
CMP_020,5,1120000,4500
CMP_021,1,22500,10000
CMP_021,2,52500,15000
CMP_021,3,90000,20000
CMP_021,4,150000,25000
CMP_021,5,240000,30000
CMP_022,1,900,15000
CMP_022,2,2100,22500
CMP_022,3,3600,30000
CMP_022,4,6000,37500
CMP_022,5,9600,45000
CMP_023,1,900,7500
CMP_023,2,2100,11250
CMP_023,3,3600,15000
CMP_023,4,6000,18750
CMP_023,5,9600,22500
CMP_024,1,22500,7500
CMP_024,2,52500,11250
CMP_024,3,90000,15000
CMP_024,4,150000,18750
CMP_024,5,240000,22500
CMP_025,1,22500,7500
CMP_025,2,52500,11250
CMP_025,3,90000,15000
CMP_025,4,150000,18750
CMP_025,5,240000,22500
CMP_026,1,22500,7500
CMP_026,2,52500,11250
CMP_026,3,90000,15000
CMP_026,4,150000,18750
CMP_026,5,240000,22500
CMP_027,1,22500,7500
CMP_027,2,52500,11250
CMP_027,3,90000,15000
CMP_027,4,150000,18750
CMP_027,5,240000,22500
CMP_028,1,900,15000
CMP_028,2,2100,22500
CMP_028,3,3600,30000
