post_id,campaign_id,creator_id,post_date,views_at_24h,views_at_7d,views_at_30d,views_final,total_payout_earned,historical_avg_views_per_post,historical_completion_rate
P_0001,CMP_037,CR_028,2024-01-10 00:00:00,4006,7955,10615,10964,936,Micro,0.8000899972479147
P_0002,CMP_012,CR_087,2024-01-10 01:00:00,4389,7671,9249,10075,948,Micro,0.870489243419323
P_0003,CMP_049,CR_078,2024-01-10 02:00:00,825,1787,2177,2341,217,Nano,0.8519069007198352
P_0004,CMP_013,CR_088,2024-01-10 03:00:00,19547,38102,43363,46282,2701,Mid,0.7447125775398068
P_0005,CMP_023,CR_002,2024-01-10 04:00:00,3836,7041,9437,10056,934,Micro,0.5449400695112802
P_0006,CMP_025,CR_109,2024-01-10 05:00:00,190914,353956,444063,475028,23867,Macro,0.8096199997262061
P_0007,CMP_035,CR_026,2024-01-10 06:00:00,14830,26939,31003,31799,2038,Mid,0.6088499975993656
P_0008,CMP_041,CR_014,2024-01-10 07:00:00,945,1483,1840,1924,298,Nano,0.9099809162453225
P_0009,CMP_030,CR_059,2024-01-10 08:00:00,415,872,1094,1152,423,Nano,0.8772194117955672
P_0010,CMP_017,CR_056,2024-01-10 09:00:00,13434,22425,28235,31234,1981,Micro,0.8192223351893259
P_0011,CMP_049,CR_115,2024-01-10 10:00:00,3996,7009,8054,8284,779,Micro,0.9269806801240086
P_0012,CMP_020,CR_007,2024-01-10 11:00:00,7196,13961,19318,19860,1129,Micro,0.5141398196800728
P_0013,CMP_048,CR_003,2024-01-10 12:00:00,169052,289289,343479,356893,18183,Macro,0.8312901912773429
P_0014,CMP_025,CR_111,2024-01-10 13:00:00,238982,482671,533154,592024,29921,Macro,0.6486092507013824
P_0015,CMP_022,CR_023,2024-01-10 14:00:00,94227,174243,213994,236567,12288,Macro,0.9077296485588644
P_0016,CMP_013,CR_110,2024-01-10 15:00:00,75473,121691,139515,151975,7860,Macro,0.6200038384978899
P_0017,CMP_019,CR_107,2024-01-10 16:00:00,1996,3749,4781,5252,491,Micro,0.8261854246917577
P_0018,CMP_049,CR_111,2024-01-10 17:00:00,22914,37277,47037,50474,2923,Macro,0.8949411588428515
P_0019,CMP_036,CR_109,2024-01-10 18:00:00,139889,241867,287871,295614,15045,Macro,0.5187455682722071
P_0020,CMP_012,CR_018,2024-01-10 19:00:00,1690,3938,4451,4747,595,Nano,0.6789414108164162
P_0021,CMP_041,CR_038,2024-01-10 20:00:00,7987,14028,15975,17729,1245,Micro,0.8430390644098724
P_0022,CMP_019,CR_099,2024-01-10 21:00:00,11782,18556,22061,23912,1650,Mid,0.7047135002784142
P_0023,CMP_012,CR_115,2024-01-10 22:00:00,9184,18036,22513,24916,1585,Micro,0.6202636834071179
P_0024,CMP_009,CR_015,2024-01-10 23:00:00,4256,6234,7933,8787,740,Micro,0.5989124069704355
P_0025,CMP_007,CR_064,2024-01-11 00:00:00,3405,5563,7148,7753,543,Micro,0.5591832201123701
P_0026,CMP_028,CR_089,2024-01-11 01:00:00,3835,6363,7993,8669,579,Micro,0.8857083019353269
P_0027,CMP_014,CR_119,2024-01-11 02:00:00,1380,2346,3008,3124,317,Nano,0.7589099314632002
P_0028,CMP_031,CR_101,2024-01-11 03:00:00,2164,4149,5360,5481,442,Micro,0.5343732252461552
P_0029,CMP_019,CR_028,2024-01-11 04:00:00,6406,9824,12147,13066,1008,Micro,0.672161145606786
P_0030,CMP_047,CR_074,2024-01-11 05:00:00,1898,2838,3603,3857,589,Nano,0.6654801428622994
P_0031,CMP_016,CR_039,2024-01-11 06:00:00,11521,20158,25120,25962,1610,Micro,0.5817826358192584
P_0032,CMP_005,CR_057,2024-01-11 07:00:00,6941,12230,13680,14847,1173,Micro,0.6959784314624857
P_0033,CMP_035,CR_017,2024-01-11 08:00:00,589,989,1217,1334,563,Nano,0.6494447144269113
P_0034,CMP_012,CR_103,2024-01-11 09:00:00,1377,2741,3155,3259,590,Nano,0.6538116674714821
P_0035,CMP_025,CR_086,2024-01-11 10:00:00,3175,5876,6390,7071,731,Micro,0.8325619510045814
P_0036,CMP_021,CR_090,2024-01-11 11:00:00,2957,4947,6486,6831,654,Micro,0.6004685234773384
P_0037,CMP_036,CR_044,2024-01-11 12:00:00,578,1076,1243,1316,345,Nano,0.7888369814849099
P_0038,CMP_023,CR_025,2024-01-11 13:00:00,1983,3335,3936,4243,345,Micro,0.7567923307464206
P_0039,CMP_016,CR_017,2024-01-11 14:00:00,895,1664,1962,2121,365,Nano,0.7556416305520403
P_0040,CMP_039,CR_013,2024-01-11 15:00:00,2089,4451,5643,5868,757,Nano,0.7983533057637991
P_0041,CMP_045,CR_084,2024-01-11 16:00:00,4324,8947,10468,11543,1000,Nano,0.7467719162880443
P_0042,CMP_042,CR_025,2024-01-11 17:00:00,3937,7192,8701,9469,659,Micro,0.895664801680873
P_0043,CMP_039,CR_068,2024-01-11 18:00:00,52699,89718,110125,114882,6030,Mid,0.8040110413776169
P_0044,CMP_014,CR_010,2024-01-11 19:00:00,1032,1867,2219,2352,544,Nano,0.7461334631171246
P_0045,CMP_031,CR_067,2024-01-11 20:00:00,9952,17815,20241,22238,1238,Mid,0.8733934041294402
P_0046,CMP_005,CR_105,2024-01-11 21:00:00,1914,3539,4405,4539,481,Nano,0.7727659542200658
P_0047,CMP_035,CR_109,2024-01-11 22:00:00,136660,249685,287765,308935,15887,Macro,0.6310149115033306
P_0048,CMP_023,CR_018,2024-01-11 23:00:00,3543,6399,8573,8873,705,Nano,0.593192713179457
P_0049,CMP_029,CR_111,2024-01-12 00:00:00,44933,78193,102899,106851,5473,Macro,0.5685475035482055
P_0050,CMP_043,CR_100,2024-01-12 01:00:00,33012,58839,67932,71511,3892,Micro,0.9047548456457457
